latitude,longitude
0.033579316,0.0054011806
0.040931158,0.016805911
0.040688455,0.026051192
0.034405377,0.038168456
-0.015082318,-0.0013930637
0.042009197,0.018273199
-0.017819094,0.0046707555
-0.0023001183,0.01657588
0.034796804,0.037807878
-0.015382422,-6.874943e-05
0.011116021,-0.034440815
0.041776996,0.020803412
0.015867455,-0.0475322
0.034468345,0.038167164
0.0182496,-0.039967213
0.034221526,0.03826481
0.0103026815,-0.033058364
-0.021286136,0.010738688
0.012896461,-0.054389857
0.041970648,0.016441634
-0.022807773,0.012859073
0.044262975,0.05573363
-0.014951451,0.006318831
-0.031756874,0.009570891
0.04138074,0.025868433
0.015432529,-0.049452133
0.05314409,0.06783422
0.03389011,0.0073451833
0.0066617955,-0.029536396
0.010909832,-0.033829268
0.0342504,0.038653363
0.01564315,-0.048549958
-0.030699188,0.008904268
-0.0032992566,-0.021886453
0.03427034,0.03822975
-0.015950395,0.0068986374
0.042726718,-0.005097118
-0.021234509,0.010662479
0.0011596065,-0.023348799
0.014584851,-0.051950477
0.034658395,0.0069120256
-0.015423558,-0.0026860426
0.034675572,0.007246099
-0.031110296,0.009246324
0.01326469,-0.054594908
0.03472712,0.007008092
-0.03226551,0.009859244
-0.032265674,0.009859325
-0.020986082,0.011112744
-0.019715229,0.008786735
0.04286566,-0.009648794
0.04338611,0.054395586
-0.021235175,0.010960812
0.03627462,0.01372089
-0.020367514,0.010244367
-0.022644797,0.012442358
-0.017813647,0.004656766
-0.021653926,0.011363167
-0.014238816,-0.0037513103
-0.03219821,0.009822417
-0.015823329,-0.0037552144
-0.015827134,-0.0037567827
0.041371316,0.026001288
0.029931284,-0.034262214
0.023597388,-0.037582166
-0.014972584,-0.0034420814
0.041371692,0.026005402
-0.015087256,-0.0023536964
-0.032180306,0.009812516
-0.032103658,0.009766738
-0.03210471,0.009767348
-0.015123529,0.0015946277
-0.021543372,0.011173058
-0.021516984,0.011129456
-0.022567132,0.012368375
-0.021146646,0.010536395
-0.022243738,0.012082759
-0.019884547,0.00018778945
-0.019883098,0.00018570619
-0.018332258,0.0052088285
-0.022893412,0.0129470425
0.0131556215,-0.054703683
0.0006888561,-0.031189086
0.0032541403,-0.03632367
0.012872413,-0.054355
0.011254222,-0.035090286
0.011233274,-0.035009705
0.053167306,0.06787414
-0.020865554,0.010096593
-0.022014363,0.011863266
0.023857284,-0.037496887
0.03794453,0.024310652
0.03796217,0.024316512
0.016687615,-0.04045897
0.01910406,-0.038607765
0.01967395,-0.036841348
0.02241139,-0.037902005
-0.01696892,0.0054896944
-0.016987558,0.004497818
-0.01691799,0.005641746
-0.02712073,0.007280691
0.041564576,-0.0267497
0.052572835,0.06702188
-0.02197826,0.011828242
-0.016940875,0.0055796956
-0.016941084,0.0055790683
-0.015624972,-0.003028624
-0.015531329,-0.0030209133
-0.015403798,-0.0028981026
-0.015416467,-0.0036530194
-0.015327802,-0.0030185902
-0.01556819,-0.0036229354
-0.015534112,-0.0029475186
-0.015644953,-0.0036629916
-0.015696386,-0.0036998098
-0.0155744385,-0.0030140406
-0.015769823,-0.0037325262
-0.015630726,-0.0030290645
0.012644458,-0.05400914
0.004459872,-0.038666673
0.012909555,-0.054408338
0.0135008525,-0.054215383
-0.0016230358,-0.026300337
0.015189142,-0.05032894
-0.010129439,-0.010416275
0.016711228,-0.039503347
0.010558463,-0.033554517
0.018728524,-0.03913455
0.012120591,-0.03285463
0.01908714,-0.03875884
0.010924077,-0.034041602
0.02304918,-0.037758593
0.011236983,-0.034917586
-0.014826303,-0.002651711
-0.014833065,-0.0026283998
-3.4754106e-05,0.017642956
-0.022435484,0.012264738
-0.02134982,0.010837335
-0.022380408,0.012211991
-0.022252176,0.012090938
-0.022129396,0.011973822
-0.022016613,0.011865414
-0.021255227,0.010949142
-0.021029722,0.011079859
-0.012705921,0.010145493
0.04162839,0.011765764
0.042374633,-0.021717614
0.033505738,0.03871802
-0.032233793,0.009842249
-0.0321294,0.009781511
-0.031287886,0.009372921
-0.031290468,0.009374935
-0.03223372,0.009842203
0.01687379,-0.04237465
0.021582168,-0.038172342
0.021798454,-0.026883027
0.01118077,-0.034643423
0.034767374,0.007030083
0.0327773,0.004015349
-0.022866858,0.0129197305
0.014871982,-0.051253203
-0.015539322,-0.0025669788
0.04155682,0.026420653
-0.032130383,0.00978207
-0.0196546,0.0087223435
-0.025515085,0.015598238
-0.025493234,0.015574018
-0.02547859,0.015557801
-0.025225995,0.015278446
-0.025113495,0.015154041
-0.025006076,0.015035509
-0.025419569,0.0154925035
-0.023228025,0.013100012
-0.023132527,0.012998549
-0.02314205,0.013008684
-0.02536679,0.015434082
-0.024024911,0.013959622
-0.024069246,0.0140079195
-0.024318656,0.014280027
-0.024425978,0.014397628
-0.02464129,0.014634112
-0.019832268,0.014050527
-0.020644017,0.014129939
-0.021131495,0.013851307
-0.021229722,0.013717336
-0.020729218,0.014101584
-0.020779565,0.014081314
-0.02150317,0.0114804
-0.02101422,0.0139358835
-1.0511597e-08,-6.553624e-09
-0.021463955,0.01296602
-0.021409772,0.013235419
-0.02134203,0.013485497
0.042125016,-0.024734534
0.05350227,0.06865309
0.04011689,-0.028291373
0.040875718,-0.027668225
0.0421031,-0.02488694
0.037627622,-0.03003898
0.04103406,-0.027512003
0.04141523,-0.027017828
0.041646384,-0.026583456
0.041775804,-0.026186205
0.041959953,-0.025593812
0.04078199,-0.027770039
0.04217331,-0.024034686
0.05300388,0.067597866
0.052511025,0.06618323
0.053130098,0.06779473
0.052682307,0.066810906
0.05267665,0.06711841
0.052340295,0.06686576
0.052453857,0.06596126
0.05080813,0.06485824
0.052075416,0.06654992
0.052629266,0.06726369
0.05310606,0.06776769
-0.019381778,0.007650282
-0.021256182,0.0111708725
-0.014410944,0.006337332
-0.015662596,0.0014223084
-0.025256475,0.005003006
-0.023269208,0.0030726376
-0.022689268,0.0025921676
-0.023276081,0.0030786288
-0.022695174,0.002597251
-0.015817188,-0.003752688
0.034717735,0.007035539
-0.020823926,0.010030381
-0.021063795,0.010417631
-0.020888759,0.010132014
-0.020212574,0.009310637
